NAME,NIRC,IS200,IS103,IS101,WRIT001
T1337290L,Martina Emerson,A+,A-,C+,D+
S8243303A,Kyla Cooke,A+,C,A+,B-
T1754412M,Deanna Chambers,F,B+,D+,B
T7434933G,Urielle Freeman,F,A-,B-,C
S0852775Z,Lisandra Ewing,C+,B,F,D+
S9602440K,Jocelyn Ray,B,B-,B+,B+
S3516448V,Dane Potts,D,C,B+,D
S4017953O,Aline Waller,D,A+,A+,A-
S6511096M,Flynn Erickson,A,D+,A,A
T2258128U,Anthony Graham,C+,A+,D,D
S0517905A,Ethan Lowery,D+,A+,D+,C+
S9518703X,Brooke Dyer,B,A-,D,C+
S4802967E,Bryar Pickett,D,A-,A,C+
S4366131B,Emily Riggs,D,D,D+,F
T0246082P,Kato Stafford,C,B,A-,B-
S5927673D,Nita Reilly,A+,A,D,B-
T1357513H,Tatum Briggs,C,F,A-,C+
S7114830L,Grace Berg,B+,C+,F,A-
S9423291C,Amos Emerson,A+,A+,D,A+
T9121605T,Rae Stevenson,B,B+,C,C
T0794367Y,Jana Sykes,C+,D+,D,A-
S1770847S,Reuben Britt,B,A,D,C+
T8356395X,Jasmine Craft,B+,C,B+,F
S6722776A,Odessa Barton,C+,D,D+,A
S9304888V,Dylan Miles,B,C+,D+,A+
T1826075H,Yael Conway,C,A,B-,C
S6901586N,Quintessa Walsh,D+,D+,C+,B-
T6483242E,Levi Juarez,A,D+,B-,D
T3479500F,Carla Moses,B,C+,B,D
T3349432N,Oren Contreras,B+,C+,C,C
T3337414A,Bruce Case,F,C+,D+,D+
S2744586P,Scarlet Lara,A-,A-,A,D+
T2246687G,Keaton Wilkerson,B+,B+,F,D+
T2169231R,Karen Stone,A+,A,B,A+
T9470646J,Walker Young,B-,F,F,A-
S2656986B,Kevyn Carr,C+,A,B-,D+
T1180763O,Joelle Delaney,A+,D,A,C
S7429511K,Randall Carey,A,D+,B-,C+
T4229289I,James Herman,D+,D+,C+,A+
T2306487N,Steven Reynolds,B,B,B+,C
T9871223N,Leah Washington,F,B-,D+,D+
S0200464L,Barclay Coffey,F,B+,A,C+
S8578622S,Daniel Kramer,B+,C+,C,B
T5086135K,Regina Everett,D+,A+,A-,B
S7882070Q,Upton Cross,A-,B,B+,B+
S3933314Q,Lyle Scott,C+,C,D+,A+
S6970340M,Ivory Little,A-,D+,A-,C+
S0787334Y,Herrod Oneill,B-,D+,B,D+
T7408625D,Caryn Sanford,B-,C,B,B
S1854532K,Herrod Humphrey,A,B,D+,C+
