NAME,NIRC,IS200,IS103,IS101,WRIT001
T7343455K,Ruby Adkins,C+,B+,A-,D
T2942232G,Carlos Tyson,C,C+,B+,A-
T8691969X,Felicia Hunt,F,A,F,D+
T8886450B,Ciaran Booker,A,A,A+,A+
T5955216H,Amela Jacobs,D+,B-,A,B+
T6693733N,Ruby Graves,A,D+,C+,F
S8406507A,Hashim Pearson,A,B,C+,C
T2517747X,Amena Beach,A-,C+,F,B+
S6904957L,Imelda Mullins,A+,C+,D+,C
S6222007O,Plato Mercer,B+,D+,A,B+
S4122096R,Paul Stark,A,B,A-,B
T7137919R,Ivor Frederick,B,A+,B+,D+
S9903138O,Genevieve Cross,A-,C,A+,B+
T4578022R,Skyler Caldwell,B+,C+,A-,C+
T1370398Y,Wesley Calhoun,A-,B-,A+,D
T9470536I,Keane Henry,A+,B,A-,D+
T8501757U,Griffin Donovan,B+,D+,B-,A-
T4843084V,Vanna Herman,D,A,B-,C+
T5449786S,Guy Rosales,D,F,C,B-
S1168472E,Jeremy Whitaker,A-,F,B,C
S0224367P,Sheila Pitts,C+,D,D,D
T1616063D,Adena Kaufman,B+,A,D,A-
T9909823W,Jacob Kirk,C,F,A-,C
T2899278L,Kim Everett,C+,C,A,A
T4785699B,Zelenia Robertson,D,B,C,B+
S4602394D,Sheila Doyle,A,B-,F,F
T6662550A,Garth Levy,B+,A,B+,F
S5611852Y,Lester Duke,D+,B+,D+,D
T4871954U,Carson Mcintosh,B,A-,A+,C
S3108132D,Harrison Riggs,C,B+,A,B
T7742913K,Brent Elliott,A+,C,C,D+
T1752159V,Vladimir Armstrong,A+,A-,B-,A+
T2238320W,Garth Wall,C,B,D+,D+
S4867418U,Quinlan Delgado,F,D,D,A
S9817870G,Tamekah Decker,D+,F,C,F
S4792388D,Cara Campbell,B,B,D,B-
T9030779U,Mari Mays,B+,B,B,A
S1083988T,Jonah Ramos,A+,C,D,F
T0967128J,Kaitlin Massey,F,A-,D,D
S7602745S,Tatyana Richardson,A,C+,A+,D
S8303070K,Rhona Cleveland,A,D+,B+,C+
S4959400A,Nathan White,B+,F,B,B
T2795931H,Ria Wagner,A,D,D,A
T8565353B,Kamal Chambers,B,A-,B+,C
T9482762B,Aspen Mathews,C,D+,D,A-
S8284382R,Chloe Franklin,A,D,B-,C+
T5826081U,Uriah Summers,B+,B+,A,C+
T5470061T,Dante Parsons,A-,D+,B+,D
S5401436H,Amber Koch,D,B+,A-,C
T9936545C,Jasper Stevens,B+,F,A-,F
